,data
405,"Not Verified |  My family had a very good flight from Melbourne to Delhi. Being in business class helped. The check in and boarding was fine. Surprise to receive a very good amenities kit and PJ’s. The aircraft was clean as were the toilets. Seating was excellent. However the service and food (Breakfast, lunch and a snack) was not up to the standard of QF,SQ & CX. Once the meal service was finished didn’t see the hostess. Limited choice of movies but nowadays most have their own downloaded on tablets. Overall it was acceptable and looking forward to our return flight."
406,"✅ Trip Verified |  Mumbai to Hyderabad. I have not received my luggage after 1 day and no one is even replying on the baggage enquiry numbers. Is this the way government airlines work. I will never take this airline moving forward. Also, this seems to be my biggest mistake. "
407,✅ Trip Verified |  London to Goa via Mumbai. My friend and I bought our tickets in June and were due to fly November 16th. We had received a booking confirmation from Air India so thought all was well. When we arrived at the airport we were abruptly told there had been a system error and that there was no seat for us on the plane which was fully booked. I wrote a letter asking for compensation on November 26 and sent a email a week later. Neither the letter or the mail were acknowledged. I have also tried to telephone but no luck there either. The phone is either not answered or I am passed from one person to the next before silence. I am a frequent international traveller and have never encountered such a problem. We missed a holiday we were very much looking forward to and are most disappointed.
408,Not Verified |  Air India is the worst airline that I have ever seen in last 35 years. I was travelling from San Francisco (184 )to Indore in a connecting flight via new Delhi. I had terrible experience. Poor service on a long flight. Water was dripping over my head on the flight from San Francisco to Delhi.  My baggage was cleared after proper weighing in San Francisco. When I was transferring my baggage at Delhi airport for Delhi-Indore flight I was harrassed that baggage weight was different and I was forced to shuffle my stuff and throw out. They say we do not allow more than 4 kg laptop bag In spite of knowing that my laptop itself was 4 kg and there was charging cord and bag weight which they refused to allow.  I removed everything including charger from the bag. The staff at Delhi was very rude.
409,✅ Trip Verified |  Kolkata to Agartala. It was a pathetic experience. None of the crew helped a bit to reduce the problems. No food was served. Worst flight experience of my life. Only one point for the time less time of flight Couldn't have taken it if it was a long flight.
410,Not Verified |  Delhi to Lucknow. We tried to web check-in twice but unable to do so and we were advised to contact at airport. At airport too there was some problem at the counter and the officer requested us to go to a particular counter where we got the boarding passes but to our shock we were allocated seats in different rows and the officer on counter told us that it happened due to failed attempts of web check in. Anyway we proceeded towards gate no 29B as printed on it. When we reached on the designated gate we're shocked to see that no one was there. We're clueless but soon I received a call that your gate has been changed and now please report at gate no 34. We were finally boarded and reached Lucknow. As we're told in the plane we reached to belt no 2 to collect our checked-in baggage but another shock was waiting for us. We stood there for 10 minutes but couldn't find our baggage and soon there was display of Indigo flight number on belt 2. I took a chance and went to belt number 3 nearby and found my baggage on it while no display was available on belt number 3. All fellow passengers were frantically searching for their baggage. Finally when we arrived our home the last shock we had there. 
411,✅ Trip Verified |  Delhi to Kathmandu. Exceptional Customer service from one of the crew member Arif. My flight was cancelled due to late arrival. But he handled the situation and helped me checking to the new flight. He is good in developing rapport with the customer. 
412,"✅ Trip Verified |  Kolkata to Dhaka. The check in staff were by far the most unfriendly and uncooperative group of people I've come across. I travel a lot, and have always been assisted by airline staff in case of luggage weight issues and so on. However, Air India proved why they're one of the least preferred airlines in the industry. Never flying again."
413,"✅ Trip Verified |  Very bad customer service! I had booked two tickets from Bengaluru to Bhubneshwar for 22nd December, the amount for the same i.e. INR 10630 was deducted from my account but tickets were not confirmed. I spoke to the customer executive of Air India regarding the issue and she said that the ticket has not been booked and I will get refund for the same if I will mail to [email protected]. The customer executive also asked me to book the tickets again since ticket was not confirmed. Now, I have already booked another ticket through a different airline and I receive the trailed mail confirming my earlier booking. It has been so many days but they have not replied for my email, customer executive has not given any solution on call."
414,"✅ Trip Verified |  Delhi to Mumbai. The experience is positive, staff is helpful, the airport is clean. The signs (for directions) are clear, making it easier to manoeuvre the huge airport."
415,"✅ Trip Verified |  London to Delhi. Air India has the worst customer service ever. They lost my child's pram and when I complained at the airport, all they did was send me from one desk to another. I also tried to contact their customer service and again I was transferred from department to department. If they cannot help you, they will keep you on hold and disconnect your call. The staff is lazy, if you can avoid flying with Air India, do so. if I had the option of giving them minus, I would give them minus 10."
416,"✅ Trip Verified |  Delhi to Mumbai. Never had that kind of bad travel experience. Missed flight to Toronto because flight was delayed 3 hrs at Delhi airport without any notice. Then waited for next flight at Mumbai airport for 36 hrs with my family. Hotel was not provided for first 13 hrs, slept on floor. Then finally after 36 hrs wait ready for next arranged flight to London and from London to Calgary. Again flight from Mumbai to London delayed and missed connecting flight to Calgary. Staff did not listen anything, no compensation, rude behavior. Worst nightmare of the life. And top of that there is no option to complain."
417,✅ Trip Verified |  Muscat to Delhi. Everything's great and it's so cost efficient. I don't expect luxuries but they are never on time. I have missed my train today because of 3 hour delay in my flight.
418,Not Verified |  London to Goa via Mumbai. The first thing they didn't tried to give us seats together. The flight was so dirty and the whole system was not working. There was no reply from the air host as the buttons of the call were not working and nobody was bothered to come and attend. They delayed the flight for 4 hrs from London to Mumbai. Once reaching Mumbai at 6 am we already waited for another delayed flight to Goa by 10.45. They neither providing us breakfast or anything. Very pathetic service.
419,"✅ Trip Verified | Mumbai to Frankfurt with Air India. No safety briefing whatsoever, but who cares anyhow. No information, advice, attention outside of two meals in 9 hrs flight, although flight was delayed by 2 hours. Cabin lights were kept off/low during day flight. It was just annoying and a bit depressing."
420,"✅ Trip Verified | Goa to Mumbai with Air India. The check-in process was efficient and courteous and the onboard service was friendly. The seats had plenty of legroom and a small snack was served. However, the flight operated 90 mins late, and the plane's interior was rather tired and even a bit grimy around the overhead light panel. Overall a pleasant experience because of the relaxed service, but Indigo is more efficient."
421,"✅ Trip Verified |  Singapore to Delhi. Worst experience I booked my ticket one day earlier because there was an emergency back at home. My flight was delayed by 6 hours. I kept requesting the transfer staff to help me but no one responded. I called the Air India office in Singapore but no one answered. Its worse than a budget airline.  Worst staff, worst management."
422,"✅ Trip Verified |  Udaipur to London via Delhi. Arriving at Heathrow flying out on the 2 Nov 2019 we found the seat reservations that were booked in April had not been processed and our seats were not available. We had to waste time at the Air India desk getting alternative seats and ensuring the rest of our bookings were in place. Onboard the outbound flight two of the toilets nearest us were out of use as were two out of the three entertainment systems in our block of seats (in fact one was completely missing). After some time and having been re-booted the other system was back in action. The on-board staff were courteous and helpful, seats comfortable (we paid for the emergency seats with lots of space in front) and the food was ok but only choice was eat it or starve. Basically the same can be said for the return flights adding that the flight from Udaipur was nearly two hours late without any explanation. Don't expect too much from this company (especially if you fly economy) and you won't be disappointed."
423,"✅ Trip Verified |  Frankfurt to Mumbai. The backrest was too short. I measure 190cm and head rest - the foldable ones - protrudes into where my shoulder is. Also, this way I have no head rest at all. Very annoying."
424,"Not Verified |  Birmingham to Amritsar. The staff at Amritsar were polite. The IFE screens were not working, the screens seemed to be falling off. The staff reset the screens, this did not help, armrests appeared to be falling off. The staff should regularly check that toilets are clean. On my flight the sink was blocked and there was no hand tissues or toilet paper."
425,"✅ Trip Verified | Mumbai to Kochi. Zero for time punctuality. Very casual approach in customer dealing. There is no one who can take action on non performing staff, it is the reason due to which Air India is making a loss in spite of having great potential. But no one cares - its taxpayer's money. I along with my spouse and two kids traveled through from Kochi to Mumbai on 03/11/19. Scheduled flight departure time was 8.10 p.m. from Kochi but the flight was delayed initially by 40 minutes than by 1 hour 20 minutes and finally took off at 10 p.m. with a delay of 1 h 50 minutes, and due to which I missed my pre-booked train from Mumbai to Vadodara. I had a similar experience during my earlier flight which I took from Mumbai to Trivendram on 26/10/2019. The flight was unnecessarily got delayed just because crew members did not arrive on time. When I claimed for train fare, I received terrible reply ""The flight AI-055 of 03 Nov 2019 was delayed on account of the late arrival of the incoming aircraft from Mumbai and the delay was unexpected and unavoidable. Our responsibility is limited to carrying you from Cochin to Mumbai as per purchased ticket only and so we are not in a position to provide any other compensation."""
426,"✅ Trip Verified | Colombo to Mumbai. Cancelling an international flight 9 days before departure because you don’t pay your fuel bills? Air India you are officially the worst airline I have flown on. And I have flown on a lot. Every time I fly with you you are a complete disaster. Frequent flight delays of hours, missed connecting flights, chaotic check-in with endless queues, terrible service. Never again."
427,✅ Trip Verified |  Toronto to Amritsar via Delhi. The worst flight I have ever had. Screens were not working. Arm rest was falling apart. Usb port not working at all. Washroom was not even clean. Recommendation to other passengers this flight does not value your money or satisfaction
428,"Not Verified |  Kathmandu to London via Delhi. This was my first time flying with this airline, and it will be the last. Both flights were delayed by hours, and no one took the time to provide any explanation as to why, or any apology for the inconvenience. The flight from Kathmandu to Delhi was delayed by 2 hours, and when it came to finally boarding the aircraft there was another security check of bags before you walked up the steps to the plane, it felt really disorganised and unusual given we had already gone through security. It almost puts doubts in your mind as if they don't trust the airports security process. When we got on the plane, the air hostess was rude and demanded I put my bag in the overhead locker despite just taking my seat and organising what I needed out of my bag. The food was not nice, and the plane was quite dirty. We were recommended this airline by a family member, I'm not sure if standards have dropped over the years, but it certainly was not up to ours given the air fare. We will not be recommending or using this airline again."
429,"✅ Trip Verified |  Seoul to Bangalore via Delhi. From the moment I entered till I got out of the plane, the whole 8 hour journey was unbearable with that strong, thick curry smell. Other passengers too were clearly uncomfortable and wore masks the entire flight.  Flight attendants don’t show up at multiple calls. Plus, the cabin crew were loud and you call that in-flight entertainment? By far the worst international airline experience. Canceling my return flight. "
430,"✅ Trip Verified |  Delhi to London. Check in took over 2hrs in a queue as other late arriving customers for other Air India flights were rushed in front. Rude customer service. Our flight delayed by 3hrs due to technical problem? (2.50am in the morning). Inflight poor service, they rush pass you as you don't exist. Not a clean maintained flight, lost luggage and still awaiting for the update. Worst flight experience ever, will never fly Air India again."
431,"Not Verified | Newark to Mumbai. This 16 odd flight was really as bad as it can be. (1) There were no blankets supplied in most of the economy. When asked the flight attended simply said “We are sorry we ran out. When the ground crew said they only had used blankets from prior flight we refused for your safety”. (2) the in-flight entertainment system was broken and attendants simply said: “sir this is an old aircraft so many are broken - too bad”. Many “low class” customers travel in the Middle East / India sector and don’t know how to use the system and end up breaking it”. (3) food. I traveled by Air India many times and their saving grace was always good food. But this time I noticed it was super frugal (just an entree and small piece of bread ). To understand all this I struck up a conversation with one of the attendants and learned some stunning truths. He said “ sir everyone in Air India is aware of the poor quality of aircraft, non-working in-flight entertainment systems etc. but don’t seem to care. In fact, we file a detailed report after each flight, citing customer grievances, key issues etc, but nobody that can impact the situation cares. Net, it is a leadership problem. There are no customer service metrics attached to senior operational leaders’ performance evaluations and hence the outcome, As long as India government subsidies with plum jobs, customers like me can refrain from using Air India but that will not matter at all as economic forces are not at play here, For those wondering, the fare between United Airlines and Air India for this same route was almost equal (United was actually $100 cheaper and Air China was 50% lower), so Air India does not have the proverbial price advantage. I also learnt 2 new aircraft were acquired for traveling public but later converted to Air Force One for political leaders. The older aircraft if used for fare paying public. The business model is unsustainable. In new India, will someone take notice?"
432,"Not Verified | Yesterday I was travelling to Delhi to Dubai via Cochin AI 933. On d way to Delhi to Cochin, I asked a crew member a blanket for my 3-year-old daughter as the temperature was very low because of the AC. Its a matter of shame that I was denied."
433,✅ Trip Verified |  Birmingham to Rajkot via Delhi. I have tried this airline first time and now it was last time because there is no service available on plane. Nobody came when I wanted something on plane even though put the buzzer on. Plus flight attendant was so rude to me. Basically you won't get nothing once you served. I wouldn't recommend this airline next time. Plus I paid more than other airline.
434,✅ Trip Verified |  Colombo to Delhi. The ground staff and cabin crew were very courteous. The quality was ok but not great. The cabin crew was helpful and pleasant. No in-flight entertainment.
435,✅ Trip Verified |  Hyderabad to  Visakhapatnam. This is the fourth time flight delayed I don't know why they are showing fake timings Every time I'm missing my train from Visakhapatnam. Not valuing customer time. Care less. I don't prefer air India for any journey.
436,"✅ Trip Verified |  Mumbai to Bangalore was a very smooth flight and I was surprised that the check in agent was happy to provide me with an exit row seat which showed that the load on the flight was on the lesser side.  A good breakfast of idli and pongal was provided which was hot and fresh. The cabin crew were very friendly and as I was seated at the exit door seat, they gave very clear instructions about emergency evacuation. It was pleasing to note that this time there was an airbridge to deboard from compared to the standard remote bay. The flight itself was good and comfortable. "
437,"✅ Trip Verified |  I recently took a flight from New Delhi to Chicago and back and had contrasting experiences. On my flight to Chicago, the crew was excellent and extremely helpful and the  experience was quite comfortable, let down only by malfunctioning screens. On the other hand, my experience on the return flight from Chicago to New Delhi was really bad. Right from the unhelpful staff, to shoddy screens and toilets not working, spending those 14 hours was a nightmare. So, overall I still don't know whether to recommend Air India or not, only thing is fly only if that's the cheapest deal anyone is getting."
438,"✅ Trip Verified |  I had booked my 18.50 flight via agent from Pune to Delhi on 9th October. But they cancelled this flight and merged with 22.15 flight due to less passengers. This was not informed to me. My eticket message received to me on my contact no, but this flight cancellation message not received. I had to spent 4 hours on Pune airport doing nothing. Secondly I reached Delhi at 1 pm on 10th October. On Pune airport no staff available to take my complaint. They had treated us very badly. I was really disappointed with the treatment received during this incident. "
439,"✅ Trip Verified | 
I was travelling from Delhi to Bombay through Air India, AI665 on 16th October 2019 whose scheduled time is 8 am. It gets delayed (for no reason as there is no bad weather and no other flight of any other service provider gets delayed) for 1 hour and it's rescheduled time would be 9 am but the flight takes off at 9.40 which caused many inconveniences to many of us. I have a conference meeting in Thane Maharashtra at 12 noon and I got there after 1 pm which ruins my image. I request Air India to please take care of such types of inconvenience caused to passengers."
440,"✅ Trip Verified | Bengaluru to Mumbai. On this flight, even though the cabin was completely full, the flight departed and arrived on time. It was pleasing to note that the crew still made announcements during the safety demonstration and at other times instead of having that automated like the LCCs. It adds a personal touch. The breakfast was hot and filling and the overall attitude and demeanor of the crew was positive. One area which prevents them from getting a full rating was the fact that it was observed that the in-flight magazines were not placed in the seat pocket of each and every seat which perhaps should have been there. As on flights with a slightly longer duration, having something to read would have been really helpful. But compared to other airlines such as the LCCs, Air India provides a much better experience and service. The baggage was retrieved very quickly. Thank you for a comfortable flight."
441,✅ Trip Verified |  London to Delhi. Seats were not comfortable in fact broken. Screens were not working. Reading lights were not working. Crew was not helpful at all in fact they tried to be sarcastic and advise us to join them in kitchen and help them when we made complain that screen and lights are not working!! Very unprofessional attitude. Crew totally ignore customers by not answering to call buttons. They didn't even had biscuits on their flights. 
442,"Not Verified |  Delhi to Kathmandu. First impression the flight was delayed by an hour. Then we were told that the the gates had changed at the last moment so we had to rush to another gate which was a chaos. After boarding still lots of passengers hadn’t taken their seats and were searching for it but no flight attendant came to help. Even when I hadn’t taken my seat the plane began pushing back from the gate. Then finally we took off and looking at the condition of the seats on board I didn’t even want to sit there. The seats had almost turned black. There was  no inflight entertainment except an old magazine from who knows when. The food was ridiculous, we got served minced meat with giant tomatoes in it and a bun served with a small bottle of water.I mean couldn’t they afford at lest a glass of coke? I had about 150g over baggage and they wouldn’t even let that through. They asked me to pay over baggage fees but instead I took out a packet of sweets from the bag and we were ready to go. "
443,"Not Verified | Delhi to Kathmandu. The plane was delayed by an hour. Then at the last moment we were told that our gate had changed. Then everyone had to rush to the new gate which was chaos. After boarding the plane lots of passengers hadn’t taken their seats. Many of them including me couldn’t find their seats and there was no flight attendants to help out. Then the plane began pushing back from the gate even when many of us were not seated and the flight attendants didn’t bother to help and took their seats instead. Finally, we took off after about a delay of one and a half hours. I was already not feeling that great about choosing air India and looking at the condition of the seats, began regretting choosing air India. The inflight meal was ridiculous. We were served minced meat with giant tomatoes on it with a small bottle of water. The inflight entertainment was none except an old magazine from who knows when. Oh yes almost forgot they don’t even allow an extra gram of excess baggage. I had 150g of excess baggage and they wouldn’t even let me through for that. They asked me to pay excess baggage fees but instead I took out the packet of chocolates instead. Then we were ready to go. Well, I personally recommend to not fly with Air India."
444,"✅ Trip Verified |  Delhi to Dubai. Arrived Delhi airport 3 hr before time, no row was showing on display for my flight,1st the ground staff said that check in in row E, that was too crowded, after spending 45 min in that queue come to know that I am in wrong check in area, again have to queue at another one for 45 minutes, then come to know that they had don't have any info about my selected seat which I paid for, after that 15 min at check in counter to short out the matter, later immigration in Delhi was as pathetic as mostly, reach boarding gate just at the time of boarding even after reaching Airport around 3 hr before. Flight was ok, food good, on time."
445,"Not Verified |  I travelled from Dubai to Cochin on Sept 22nd, take off time from Dubai is 13.35. May be Off season offer air India announce a baggage of cabin 40 kilo and hand 8 kg. But my cabin bag includes only 34.5 kg and my fate my hand bag just exceeds 500gms while they weighing in boarding and it shows 8.450 kg. But they imposed a penalty of 70 Aed at the boarding entrance. They were not ready to allow a single gram. And also inside the flight the cabin hostess behaviour also found to be too harsh. I never support air India flight for a long travel. Inflight entertainment the headset and screen is not working and I ask for a better service to the hostess she replied that Air India have this  facility only."
446,"✅ Trip Verified |  Varanasi to Delhi in August. Was travelling with only hand baggage so checked in using self checking kiosk. Boarding started on time, may be as it was just few days before Indian independence day, they took body and baggage search at boarding gate. Aircraft was just ok, need to improve cleanliness, seats were comfortable. Journey was just above one hour, they served complimentary snacks, paneer tikka served was good, no alcohol on domestic rule as per DGCA rule and only veg for economy for so called cost savings. Crew were ok. Overall not a bad airline when travelling domestic and ticket prices are at par other airlines."
447,"✅ Trip Verified |  Delhi to London. Flew with Air India for the convenience of the direct flights. They were the same price as there competition, which we decided to use the National airline. We wish we never. The only positives are it’s direct and left on time. The plane was badly damaged on the inside. The clientele really don’t look after the planes. The seats were damaged or squeaky, the tray tables broke, netting to hold books iPad etc broke and then the toilets. They were gross. Worst toilets I’ve ever seen on an airline. Also in two that I went into the seat was broke and wouldn’t stay up on it’s own accord. The food was terrible. IFE was sufficient for the 8hours. The crew’s on board safety was awful. None of the safety checks were carried out when landing or taking off. I have to admit I was excited to Air India. But overall the experience was shocking."
448,"✅ Trip Verified |  Mumbai to Bengaluru. This was a comfortable early morning flight which took off on time and even though the flight was completely full, the flight attendants were quite nice and the breakfast service which consisted of a idli / poha was not rushed. Flight itself was very smooth and we landed also well enough. Kudos to the airline and the crew."
449,"✅ Trip Verified |  Travelled last week on Delhi to Dubai route. Actual departure time was 16:50 but got message/mail/call in morning that it has been rescheduled for 17:20,ok,good that they informed early through all possible means. At Delhi Air India have common check in desk for all international flights still at the time I reached wasn't much crowded, 15 min in queue and 2 minute at desk. Boarding started on time but no zone wise boarding, everyone was boarding same time. They had only one scanner machine for boarding pass scanning but there were 2 queue to board,complete chaos,not a decent boarding experience. Aircraft was Boeing 787-8, AirIndia has some of the best leg room for economy, interior was just ok, not looking fresh. It was just 3.5 hour flight, they started beverage service just half hour after flying, not a bad selection of beverages,after that dinner, option of veg,chicken or mutton, was ok but earlier on same route got better. Finally landed in Dubai in 2 hr 50 min, half an hour before schedule. Inflight entertainment need to be improved. Overall okay experience for the price I paid."
450,"✅ Trip Verified |  Singapore to Delhi route was on negative side. Check in :I was flying 1st time from Singapore, my wife had flight to DXB by Emirates few hours before my flight, they had fully automated self checking and was expecting same for Air India but I was wrong. Air India still use conventional method of checking. Boarding was on time. Aircraft was in shabby condition, needs serious maintenance, torn back pockets, damaged window light control and many more. Breakfast served was just Ok, didn't expect this on a route like SIN DEL.Flight crew was ok. On time:Arrived Delhi before time,that was good."
451,✅ Trip Verified | Bengaluru to Mumbai by Air India. The flight was slightly delayed by an hour or so due to crew work time limitations being exceeded but this was communicated well in advance and so there was also no adverse consequences as a result of that. The flight in itself was a very standard fare with breakfast served and the crew being fairly warm and receptive. Had it not been for the delay this would have been the perfect flight but nevertheless an enjoyable and comfortable flight experience. Also travelling on the Airbus A320 Neos is quite good as they are newer aircrafts and more fresh.
452,"✅ Trip Verified |  Delhi to Mumbai. We had a 1 hour delay on the tarmac with non working air conditioning cabins and very minimum air venting at 40c temp in cabin . Were told by crew it would get better when we were airborne and while air vented a bit better when airborne it was still very warm. The staff knew Air Con had an issue and were told by numerous passengers even while on the tarmac but lied saying “air would be more once airborne”. Crew and Pilots obviously knew they had a fault, werent expecting to be on the Tarmac for an hour waiting for a delayed USA connection to this flight and flew with a fault anyway to keep schedule. "
453,"✅ Trip Verified |  Delhi to Mumbai. Changed my flight to a different one and of an earlier time. Didn't bother informing even once. When I tried enquiring at the airport, they didn't find it important to reply to me for the same. Moreover, the flight's AC was having issues which again wasn't informed about. Hot and highly uncomfortable throughout the journey."
454,"Not Verified |  San Francisco to Delhi via Hyderabad. This was the first time I was flying Air India, and I have truly never used a worse mode of transportation ever. Air India has the worst aircraft with the most ancient entertainment systems. But that is a mere inconvenience in the harrowing experience that Air India considers to be an acceptable journey. After missing my connecting flight at Delhi International Airport, thanks to the inefficient airport security, and spending the night at the airport, when it was time to check-in to my new connecting flight, the Air India personnel at the counters were extremely curt, unhelpful and uncooperative about checking in my luggage that was already cleared from my previous flight. Upon boarding my next flight, I was welcomed to an unclean seat and food tray. Once I finally landed at my intended destination, Air India managed to lose one of my checked bags, which I was reconciled with after 6 days. This experience has definitely turned my family, friends and me away from Air India as future customers."
455,"✅ Trip Verified |  I booked my ticket in the UK with Southall travel. 2 days before my outbound flight to Delhi I telephoned Air India to reserve my seats. I was told that I now had reserved window seats on every one of my flights and there was no need to check in online. It was all done. I arrived at Heathrow and took my pre booked window seat to Delhi. On 14th April arrived at Delhi international airport at 09:50 in the morning to fly to Kathmandu. The flight was due to leave at 12:50. 3 hours later. I queued with my luggage for almost 2 hours. When I got to the check in desk I was told that Air India had over booked the flight so I would not be able to fly that day and would have to fly the following day. I protested and said that this would not do. I spoke to several members of staff and two managers. I was pushed from pillar to post. I demanded that Air India put me on the next available flight with whichever carrier they could. I was told that this would not be possible as the only other flight to leave that day was a Nepal Airlines flight which was already full. I persisted. Finally they called Nepal Airlines who agreed to put me on the flight if there was a cancellation and the 2 airlines would sort out everything between themselves. While I was waiting I questioned the Air India representative who informed me that it happens quite regularly and that every week at least one or two passengers do not get their seats due to Air India over booking their flights. He said that confirming seats for my future Air India flights by telephone was not a guarantee that I would get the seat because priority would be given to people who book their seats online and if I ever was to confirm my seat by telephone then Air India's policy is to advise customers to arrive at the airport to check in at least 4 hours prior to departure. The agent in the UK said nothing about this when I confirmed my seats with him. A seat came up with Nepal Airlines at around 14:35. I was told to hurry forward. I did so do with the Air India representative towards the Nepal Airlines check in desks. However when we got there the Air India Representive informed me that I would be liable for the excess baggage as Nepal Airlines allow only 20 kilos of luggage whereas my luggage allowance with Air India is 46 kilos. I refused to pay; It was not my fault that Air India over booked their flight so why should I, the passenger be penalised for their utter incompetence. "
456,"✅ Trip Verified | We had a awful trip from FFM to Colombo and back with Air India. We chose them because they were offering the best times for both trips (but they changed them later from 8.40 in the morning to 2.40 in the middle of the night - and they do this apparently regularly). On both flights (actually all 4 flights because there is a stop over in Delhi) the online check-in was not working - as a result my family of four were spread all over the plane. In one case they booked as in row 23, but the aircraft only has 21 rows. So their IT is simply not working, everything is utmost slow (it took us 20 minutes to check in at the desk in Colombo). The aircraft from Colombo to Delhi is really old and dirty and this in combination with a non working IT, you don't believe that they really care about technical standards and safety. The entertainment system didn't work on both flights from FFM to Delhi. Every passenger needed numerous resets to get the minimum going - the minimum means a really small collection of outdated movies. I think even 15 years ago other airlines had better entertainment systems. This is clearly not acceptable. Sleeping was also difficult because we had numerious kids crying on all flights. The only positive aspect: some of the staff (not all) tried to do their best to solve the problems. So at least for us: never Air India again no matter how good their flight times are or how cheap they are. It is a shame that they are a member of the Star Alliance group."
457,Not Verified |  Had booked Business class from Kathmandu to New Delhi. Without any notice Air India changed the flight to an all-economy flight. All staff were extremely rude and the only answer we got was - this happens sometimes. Got told to contact ground staff on arrival in New Delhi to get a refund. Ground Saff said I'm not eligible for a refund since I didn´t book my ticket with an Indian bank card. Worst customer service ever experienced from an airline. Will never use Air India again.
458,"✅ Trip Verified | 15th August I arrived in Dehradun with Air India AI 9609. But my luggage was missing. I made a complaint to the lost and found. Until today, the 18th of August they are not able to track the luggage. Air India staff are useless and so unprofessional. I will never recommend Air India to anyone."
459,"✅ Trip Verified |  Milan to Melbourne via Delhi. Pleasantly surprised by Air India Business Class. The cabin only has 18 comfortable seats which make excellent beds at the press of a control. The layout is 2x2x22 so you could be unlucky if travelling alone as not much privacy. Get an aisle seat for mobility. The food for main meals was delicious especially the vegetarian options. The drinks service was limited but all that is needed. The cabin crew on the long leg were kind and helpful, One elderly man took ill and they did everything they could to help him. The entertainment options are limited but the seat and bed are great value. Transfers at Delhi are slow and understaffed and need upgraded body screening equipment. I would fly business class with them again."
460,✅ Trip Verified |  Muscat to Madurai via Chennai. Worst flight service of India. Poor time maintenance and customer service. All the time it's late. Those who want to have a pleasant on time journey don't choose Air India.
461,"Not Verified |  Delhi to Chicago. Very bad staff at reservation counter. Also hopeless tickets allotment, all of us given 3 different spots - row 36, 42, 45. I had 3 yr kid with me they says talk to people in flight. My question why they ask age while booking? Can anyone be ok to keep 3 yr old without parent, They should have used age while pre-allocating tickets."
462,"Not Verified |  Birmingham to Kochi via Delhi. This was the worst flight I've been on. First of all it was a last minute decision to fly to India regarding a family emergency so we booked an inexpensive flight and that flight was air India. The staff were rude to us and the the tray table was filthy and had bits of dried up food stuck on it, when I reported this to the stuff they handed me a tissue asked me to it clean up. You could have at least cleaned up the aircraft for the passengers to use and I take this offensive because hygiene is important to me. Next when we reached Delhi we were told to collect our luggage from the luggage belt and load it on to the next flight because it was a domestic one, this was the first ever time any airline had asked us to collect our luggage when we hadn't even reached our destination. At first we weren't sure because we had flown before and this had never happened so I asked the people at the information desk for help, there wasn't anyone else there but for some apparent reason the people at the desk couldn't see me I said excuse me about three times before someone looked up from their phone and when they did they were unhelpful and they looked at me like how could I disturb them from they're phone's. All in all it was a horrible experience and I will never fly on this airline again."
463,"✅ Trip Verified |  New Delhi to Dubai and I had a great Flight. I would like to specially Mention a senior cabin crew, Sheetal. who was very kind and dedicated towards her job. Thank you for your hospitality."
464,"✅ Trip Verified |  Tel Aviv to Sydney via Delhi. First flight with this airline, and pleasantly surprised. Aircraft staff were friendly and attentive, food was great and wine free flowing. The seating style seems a little old fashioned, but provided for more comfortable sleeping as your leg positions aren’t as constrained as in the latest corral style business seats. Air India also provided crisp cotton covered quilts in addition to a lighter day blanket. On the Tel Aviv to Delhi leg we were offered pyjamas; perhaps we could have asked for them on the next leg. The staff at the lounge at Delhi was the only weak point. The lounge itself was well provisioned and well equipped, apart from the lack of a shower, but the woman at the desk was unhelpful to the point of rudeness."
465,"✅ Trip Verified |  Mumbai to Hong Kong via Delhi. My flight is for 27 December 2019. I have booked a Mumbai to Hong Kong flight - via Delhi and I am now trying to change the flight to a direct flight. I am just not able to do so. I called the call centre more than 3 times and every time my call lasted for about an hour. Crazy long waiting time, and still no solution. Every time, they take all details and just before the final change, the call disconnects and now when I call them, they are asking me to call tomorrow or maybe later. wow - what a solution. they also suggested that a call back can be arranged, but not today.. hahah. Are you serious? I have 11 tickets to be changed for my entire family members. All this happened today (23 July 2019)."
466,"Not Verified |  New York to Hyderabad via Delhi. The lack of customer caring and the rudeness was appalling. My last name changed when I got married therefore my new passport has my married name. For some reason they would not accept the passport and my marriage certificate as a proof of that. My Indian visa is on my maiden name. I tried to reason with them that the US government takes security seriously and that they issued my new passport, drivers license, social security card etc. only after verifying everything. The airline demanded that I produce a court document showing name change - I dont have a court document nor does any one that I know. That is not what we do in the US for marital name change. They refused to let me get on the airplane with this reason. I was literally travelling to India for two days to attend to a family emergency and I couldn't make it. The worst part is the way the Air India staff in JFK treated me. One would expect that they would try and help the passenger but the person incharge  was extremely rude and treated me like I was not human. I was literally in tears explaining to them that I have traveled like this before and no other airline objected. Like banging your head on a wall"
467,"✅ Trip Verified | Mumbai to Bengaluru by Air India. On this late afternoon flight to Bengaluru, the flight was on the lighter side and so, as a result, the check-in process was a breeze and boarding started well before the scheduled boarding time. A light snack was provided consisting of a savoury cake and samosas/pav bhaji and the portions were generous in quantity which was well appreciated. The crew was friendly and engaging which was good. The flight departed on time and arrived well before the scheduled arrival time which was a huge plus. Air India provides great value for money and they should keep it up."
